Company,Name,Title,Image Links
Citadel,Kenneth Griffin,Founder and CEO,https://www.citadel.com/wp-content/uploads/2017/10/Ken_Griffin-2.jpg
Citadel,Amanda Rubin,Chief Marketing Officer,https://media.licdn.com/dms/image/v2/D4E03AQGIBaaIGEWqUA/profile-displayphoto-shrink_800_800/B4EZWqwg3DHMAc-/0/1742326599468?e=1776297600&v=beta&t=aF2gfTDPOl_b3IdUR5OPuw2AUW5H7TmeUdRsHImQ3vA
Citadel,Josh King,Head of Corporate Affairs,https://www.citadel.com/wp-content/uploads/2024/09/Josh-King.jpg
Citadel,Brooke Reno,Head of Social Media,https://media.licdn.com/dms/image/v2/C4E03AQGes1M7MU17bA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1645119014740?e=1776297600&v=beta&t=sFk9_Rc0g2MpIcyFHmpJLQ0YYCvbz43Pay0xUEJNYM4
Citadel,Matt Scully,Head of Media Relations (Hedge Fund) ,No info found
Citadel,Zia Ahmed,Head of Communications,https://assets.clay.earth/api/images/avatars/optimized/NjAxMTMxNi03NzY2ODk2NTA=
Citadel Securities,David Millar,"Managing Director, Head of Communications",https://media.licdn.com/dms/image/v2/D4E03AQE4h5vWuf8XTQ/profile-displayphoto-shrink_800_800/B4EZUjlE1hHcAc-/0/1740058676869?e=1776297600&v=beta&t=6yMwqe2iwW0B-_ZQryBf7e33poyUUhB7LbAlfaT8cDI
Citadel,Jaquelyn Scharnick,"Director, Communications",https://media.licdn.com/dms/image/v2/C4D03AQHOnNZtIHGQeA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1516302057463?e=1776297600&v=beta&t=m1ocT7NNNGaDDOUDpE_X9vMBa0sU6dscM8OUmFl-9bk
Citadel,Daniel O’Donnell,"Director, Corporate Affairs",No info found
Citadel,Avery Katz,Analyst ,https://media.licdn.com/dms/image/v2/D4E03AQGbmth1NEdgxw/profile-displayphoto-shrink_400_400/profile-displayphoto-shrink_400_400/0/1684889849234?e=1776297600&v=beta&t=8VZAfDvl9jigccED_ZhbbHabGTHiTBDxLBMD3mpiMeo
Citadel Securities,Bianca Fata,Media Relations,https://media.licdn.com/dms/image/v2/D4E03AQH6MTFzHXgDAA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1677600383555?e=1776297600&v=beta&t=26YWpZ29dN8_DRziihDSAUtJalap4kqmBfl9JRpO1NU
Griffin Catalyst,Ingrid Bernstein,No info found,
Griffin Catalyst,Dylan Gresik,"Associate, Public Affairs and Philanthropy",https://media.licdn.com/dms/image/v2/C4D03AQEgKuiaoPimoQ/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1600730097279?e=1776297600&v=beta&t=UibswRudUfLGZm1uIdB4350qIEtffcbcktlCrHGZzc0
BCG,,,
BCG,Brooke Bollyky,Managing Director & Partner,https://web-assets.bcg.com/dims4/default/cd0d246/2147483647/strip/true/crop/298x298+0+0/resize/1000x1000!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2F1b%2F5f%2F0d39a9974f3a828aa1c966d354dc%2Fbt-0036.jpg
BCG,Justin Dean,Managing Director & Senior Partner,https://resource.globenewswire.com/Resource/Download/4b58148c-2ac7-49c4-8352-85047c66a52b
BCG,Ingmar Broemstrup,Managing Director & Senior Partner,https://web-assets.bcg.com/dims4/default/6d657d3/2147483647/strip/true/crop/500x500+0+0/resize/500x500!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2F2a%2F9d%2F67f22f9d49d481a3aba23091d71c%2Fingmar-broemstrup.jpg
BCG,Sylvain Duranton,"Managing Director & Senior Partner; Global Leader, BCG X",https://media.licdn.com/dms/image/v2/C4E03AQFPeQfYY3WfsA/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1652099386932?e=2147483647&v=beta&t=1GKtJSjS011FLlnxYDe5vj2vFcHy9Id1UnO2YzQZQ6k
BCG,Barry Rosenberg,"Managing Director & Senior Partner, Health Care Regional Practice Lead",https://web-assets.bcg.com/dims4/default/012b553/2147483647/strip/true/crop/500x500+0+0/resize/500x500!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2F15%2F37%2Fb99921c14459afcc3fc22c93938c%2Fbarry-rosenberg.png
