Company,Full Name,Title,Image links
Bank of America,Claudio Irigoyen,Managing Director - Head of Global Economics,https://media.licdn.com/dms/image/v2/C4D03AQGEWhlCzQApuw/profile-displayphoto-shrink_400_400/profile-displayphoto-shrink_400_400/0/1609297200876?e=1776297600&v=beta&t=lhFs3qhcXMv1TZcUsH93ZXSuTc9qXZtcqj0BBLBF6tA
Bank of America,Hari Gopalkrishnan,Chief Technology and Information Officer ,https://media.licdn.com/dms/image/v2/D4E03AQEaOTF9hqd90g/profile-displayphoto-scale_400_400/B4EZo8MeYSIIAg-/0/1761946495919?e=1776297600&v=beta&t=GiLf5MepP8rbGL-QpNNyxVk2bIiuRYSsmxU06Y1qL68
BCG,Aparna Bharadwaj,"Managing Director & Senior Partner; Global Leader, Global Advantage Practice",https://web-assets.bcg.com/dims4/default/3d5bffb/2147483647/strip/true/crop/500x500+0+0/resize/500x500!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2Fd8%2Fb2%2F3ab3e12347a4a713bfbfa28538e2%2Faparna-headshot-new-500-x-500.jpg
BCG,Christine Barton,"Managing Director & Senior Partner; North America Lead, CEO Advisory",https://web-assets.bcg.com/dims4/default/d14084b/2147483647/strip/true/crop/600x600+0+0/resize/500x500!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2F3e%2F9f%2F4f5891cd49c594f918f52c573564%2Fchristine-barton-headshot.jpg
BCG,Rich Lesser,Global Chair,https://web-assets.bcg.com/dims4/default/0fb393b/2147483647/strip/true/crop/438x438+0+0/resize/500x500!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2Fec%2Fd4%2Ffad1e872d14a053ebd3952083ec9%2Frich-lesser-updated-tcm9-242032.jpg
BCG,Sharon Marcil,"Managing Director & Senior Partner, North American Regional Chair",https://web-assets.bcg.com/dims4/default/344e235/2147483647/strip/true/crop/600x600+0+0/resize/1000x1000!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2F71%2Fc4%2Fe5c04ef9472382803b88f66747e7%2Fsharon-marcil-headshot.png
BCG,Vladimir Lukic,"Managing Director & Senior Partner; Global Leader, Tech and Digital Advantage",https://web-assets.bcg.com/dims4/default/6801a84/2147483647/strip/true/crop/1000x1000+0+0/resize/1000x1000!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2F52%2F2a%2F125873864241a1ffb79da1358c23%2Fvlad-lukic-headshot.jpg
Chevron,Ryder Booth,Chief Technology and Engineering Officer,https://www.chevron.com/-/media/chevron/who-we-are/leadership/redesign-leader-bio/bio-leader-booth-ryder.jpg?h=330&hash=0DE08DD31941B9FB49BCCA7AD3592F25
Cisco,Chuck Robbins,Chairman & CEO,https://newsroom.cisco.com/c/dam/r/newsroom/en/us/assets/executives/chuck-robbins/Chuck_Robbins_Thumbnail3.jpg
Cisco,Jeetu Patel,President and Chief Product Officer,https://newsroom.cisco.com/c/dam/r/newsroom/en/us/assets/executives/jeetu-patel/Patel_Jeetu_Thumbnail_1000x1200_0425.jpg
