Company,Full Name,Title,Image links
Aetna,Steve Nelson,"Executive Vice President, CVS Health and President, Aetna",https://s.hdnux.com/photos/01/45/40/54/26610474/5/1920x0.jpg
AlixPartners,David Garfield,Co-CEO,https://media.licdn.com/dms/image/v2/D5603AQGErsk5hyH2UQ/profile-displayphoto-scale_400_400/B56Zh2Bm9iHkAs-/0/1754326796558?e=1776297600&v=beta&t=_ilShSXeEJku_IosOTIzrexbKR-7dYITzpwP0MyK-TY
AlixPartners,Simon Freakley,Executive Chairman,https://media.licdn.com/dms/image/v2/D5603AQES7MefXOJuNg/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1722288835416?e=1776297600&v=beta&t=g5gKIkeERMtgEouZXWU5eLYbd66odwg2-QRfk94radM
Allstate,Tom Wilson,"Chair, President and CEO",https://s3.amazonaws.com/brt.org/Tom-Wilson.jpg
Amazon,Albert Cheng,"Head of AI Studios, Amazon MGM Studios",https://deadline.com/wp-content/uploads/2022/09/AlbertCheng.png?w=1024
Amazon,Jamie Gorelick,Lead Independent Director,https://s2.q4cdn.com/299287126/files/images/board/Gorelick.jpg
Amazon,Jason Buechel,"Vice President, Amazon Worldwide Grocery Stores; CEO, Whole Foods Market",https://assets1.chainstoreage.com/2025-01/innerview-leadership-e-team-jason-buechel-1121-1200x800-srgb_1.jpg?VersionId=UFU61gw5l0I4sH6_IGFShKQMh5NuAyZJ
Anthropic PBC,Jack Clark,Cofounder and Head of Public Benefit,https://i0.wp.com/jack-clark.net/wp-content/uploads/2025/08/DSC_5059.jpg?resize=1007%2C1536&ssl=1
Aon,Greg Case,President & CEO,https://media.licdn.com/dms/image/v2/D5603AQEh0u0esuR9mQ/profile-displayphoto-shrink_400_400/profile-displayphoto-shrink_400_400/0/1720621911328?e=1776297600&v=beta&t=5OCvExGWrRMLxZDq2aorsaQ-VhaaVga-kLlJKPQR_4c
Ariel Investments,"John Rogers, Jr.","Founder, Chairman & Co-CEO",https://thrive.princeton.edu/wp-content/uploads/2019/07/rogers.jpg
Audible,Don Katz,Founder,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/DON_KATZ.jpg/960px-DON_KATZ.jpg
Bain Capital,David Gross,Managing Partner,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCdR-W2XiSDGrTko_ELtx4WuYyVk27H-leCA&s
Baker Hughes,Lorenzo Simonelli,Chairman & CEO,https://www.bakerhughes.com/sites/bakerhughes/files/2023-02/lorenzo_simonelli_crop_4.jpg
Bank of America,Claudio Irigoyen,Managing Director - Head of Global Economics,https://media.licdn.com/dms/image/v2/C4D03AQGEWhlCzQApuw/profile-displayphoto-shrink_400_400/profile-displayphoto-shrink_400_400/0/1609297200876?e=1776297600&v=beta&t=lhFs3qhcXMv1TZcUsH93ZXSuTc9qXZtcqj0BBLBF6tA
Bank of America,Hari Gopalkrishnan,Chief Technology and Information Officer,https://media.licdn.com/dms/image/v2/D4E03AQEaOTF9hqd90g/profile-displayphoto-scale_400_400/B4EZo8MeYSIIAg-/0/1761946495919?e=1776297600&v=beta&t=GiLf5MepP8rbGL-QpNNyxVk2bIiuRYSsmxU06Y1qL68
Bayer,Bill Anderson,CEO,https://pmlive.com/wp-content/uploads/2024/01/Bill_Anderson.jpeg
BCG,Aparna Bharadwaj,"Managing Director & Senior Partner; Global Leader, Global Advantage Practice",https://web-assets.bcg.com/dims4/default/3d5bffb/2147483647/strip/true/crop/500x500+0+0/resize/500x500!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2Fd8%2Fb2%2F3ab3e12347a4a713bfbfa28538e2%2Faparna-headshot-new-500-x-500.jpg
BCG,Christine Barton,"Managing Director & Senior Partner; North America Lead, CEO Advisory",https://web-assets.bcg.com/dims4/default/d14084b/2147483647/strip/true/crop/600x600+0+0/resize/500x500!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2F3e%2F9f%2F4f5891cd49c594f918f52c573564%2Fchristine-barton-headshot.jpg
BCG,Rich Lesser,Global Chair,https://web-assets.bcg.com/dims4/default/0fb393b/2147483647/strip/true/crop/438x438+0+0/resize/500x500!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2Fec%2Fd4%2Ffad1e872d14a053ebd3952083ec9%2Frich-lesser-updated-tcm9-242032.jpg
BCG,Sharon Marcil,"Managing Director & Senior Partner, North American Regional Chair",https://web-assets.bcg.com/dims4/default/344e235/2147483647/strip/true/crop/600x600+0+0/resize/1000x1000!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2F71%2Fc4%2Fe5c04ef9472382803b88f66747e7%2Fsharon-marcil-headshot.png
BCG,Vladimir Lukic,"Managing Director & Senior Partner; Global Leader, Tech and Digital Advantage",https://web-assets.bcg.com/dims4/default/6801a84/2147483647/strip/true/crop/1000x1000+0+0/resize/1000x1000!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2F52%2F2a%2F125873864241a1ffb79da1358c23%2Fvlad-lukic-headshot.jpg
BP,Meg O'Neill,CEO,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/images-jpg-png/news-and-insights/meg-o-neill.jpg
Calm,David Ko,CEO,https://imgproxy.divecdn.com/TgeVUq7i8daLTEesWjmjfs-DpV_DoHo86h6i6TvyHtk/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9EYXZpZC1Lby1DYWxtLUNFTy5qcGc=.webp
Carlyle,David Rubenstein,Co-Founder & Co-Chairman,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSE5fZ1TeV56gkeWeTGfehHhkQ4d_uuZrh7_A&s
Carlyle,Harvey Schwartz,CEO,https://www.carlyle.com/sites/default/files/styles/bio_xl_2020_no_crop/public/images/bio/Schwartz-Harvey-Headshot_crop-01.jpg?itok=RQS0yva7
CBRE,Jamie Hodari,"Chief Commercial Officer; CEO, Building Operations & Experience; CEO, Industrious",https://mediaassets.cbre.com/-/media/project/cbre/shared-site/headshots/j/a/m/jamie-hodari-headshot-20252.jpg
Chevron,Ryder Booth,Chief Technology and Engineering Officer,https://www.chevron.com/-/media/chevron/who-we-are/leadership/redesign-leader-bio/bio-leader-booth-ryder.jpg?h=330&hash=0DE08DD31941B9FB49BCCA7AD3592F25
Chime,Chris Britt,Co-Founder and CEO,https://thefinancialtechnologyreport.com/wp-content/uploads/2024/12/Chris-Britt-Fintech-Leader.jpg
Cigna Group,David Cordani,Chief Executive Officer,https://www.healthevolution.com/wp-content/uploads/2022/07/David-Cordani-Headshot.jpg
Cisco,Chuck Robbins,Chairman & CEO,https://newsroom.cisco.com/c/dam/r/newsroom/en/us/assets/executives/chuck-robbins/Chuck_Robbins_Thumbnail3.jpg
Cisco,Jeetu Patel,President and Chief Product Officer,https://newsroom.cisco.com/c/dam/r/newsroom/en/us/assets/executives/jeetu-patel/Patel_Jeetu_Thumbnail_1000x1200_0425.jpg
Cisco,Liz Centoni,EVP and Chief Customer Experience Officer,https://newsroom.cisco.com/c/dam/r/newsroom/en/us/assets/executives/liz-centoni/Liz_Centoni_Thumbnail.jpg
Cisco,Steve Clayton,Senior Vice President & Chief Communications Officer,https://newsroom.cisco.com/c/dam/r/newsroom/en/us/assets/executives/steve-clayton/Steve-Clayton-Thumbnail3.jpg
Citadel,Cason Carter,Global Head of Public Affairs,https://cc-tdi.org/wp-content/uploads/2018/08/Cason-Carter.jpg
Citadel,Josh King,Head of Corporate Affairs,https://www.citadel.com/wp-content/uploads/2024/09/Josh-King.jpg
Citadel Securities,Alex DiLeonardo,Chief People Officer,https://www.citadelsecurities.com/wp-content/uploads/sites/2/2023/11/Dileonardo_Headshot.jpg
Citadel Securities,Jim Esposito,President,https://www.citadelsecurities.com/wp-content/uploads/sites/2/2024/09/Jim-Esposito_240911_6948-e1734634538913.jpg
Citadel Securities,Shyam Rajan,Global Head of Fixed Income,https://www.citadelsecurities.com/wp-content/uploads/sites/2/2023/01/Shyam_Rajan.jpg
Cloudflare,Matthew Prince,Co-founder & CEO,https://static01.nyt.com/images/2017/08/13/business/13CORNER1/13CORNER1-superJumbo.jpg
Cognizant,Ravi Kumar,CEO,https://s3.amazonaws.com/brt.org/Kumar-Ravi.jpg
Condé Nast,Roger Lynch,CEO,https://s3.amazonaws.com/media.mediapost.com/dam/cropped/2026/03/01/rogerlynch-600_aJMtXRE.jpg
Constellation Energy,Joseph Dominguez,President & CEO,https://media.licdn.com/dms/image/v2/D4E03AQGyJRom4uOzeg/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1643814284018?e=2147483647&v=beta&t=-1wXDwkbQpoxKviPLsreL5X4xIw3LWAc8eG-Bn4kn_0
Cooley,Rachel Proffitt,Partner and CEO,https://www.cooley.com/-/media/cooley/bio-images/full-images/proffitt-rachel-23482-web.jpg?cx=0&cy=0&cw=354&ch=354&hash=B29B3992EE436AB07E1313544BA5EC4C
CRH,Jim Mintern,CEO,https://www.crh.com/wp-content/uploads/2025/08/jim-m-2025-1.png
Dangote Group,Aliko Dangote,President & CEO,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbUlWwGwPUakTuU3IyhJRHRBGs1gg_EXGgxg&s
Edelman,Richard Edelman,CEO,https://cached.imagescaler.hbpl.co.uk/resize/scaleWidth/815/cached.offlinehbpl.hbpl.co.uk/news/ORP/02.edelman_176360.jpg
Edward Jones,Penny Pennington,CEO,https://careers.edwardjones.com/wp-content/uploads/sites/3657/2021/10/Symposium-Wallpaper.jpg
Eldridge Industries,Todd Boehly,"Co-founder, Chairman, and Chief Executive Officer",https://media.licdn.com/dms/image/v2/D4E03AQG6kanz_GV4ww/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1727206704682?e=2147483647&v=beta&t=-Yv3OoP3fng2s7U2_WGgVubyXQxY4L-XQRQ_GXoXr0o
Exiger,Brandon Daniels,CEO,https://www.exiger.com/wp-content/uploads/2025/04/Brandon-Daniels-2025-Edited-1024x1024.jpg
Expedia Group,Ariane Gorin,CEO,https://ik.imgkit.net/3vlqs5axxjf/PCWW/uploadedImages/Articles/Interviews/2024/May/Ariane%20Gorin.JPG?tr=w-1200%2Cfo-auto
Exxon Mobile,Darren Woods,CEO,https://corporate.exxonmobil.com/-/media/digizuite-media-library/2025/08/27/12/14/2537539.jpg?usecustomfunctions=1&centercrop=1
Fermi America,Toby Neugebauer,Co-Founder & CEO,https://fermiamerica.com/nitropack_static/FQXoEZyAlpbQLYIxYpQUnLgAIeGqfdsQ/assets/images/optimized/rev-71e3fd4/fermiamerica.com/wp-content/uploads/2025/10/Toby-Heeadshot-500x500.jpg
FGS Global,Alexander Geiser,CEO,https://fgsglobal.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F137553%2F1024x1400%2F0132881115%2Falexander-geiser.jpg&w=1080&q=75
FGS Global,Ken Mehlman,Board Member,https://www.kkr.com/content/dam/kkr/bio/headshots/Ken%20Mehlman.jpeg
Franklin Templeton,Jenny Johnson,CEO,https://www.democracyinvestments.com/assets/team/portraits/jenny-johnson-26926d5e9630be65c727f9966c52fc2c9e33eeb79c2d5e2a6f225b1d314424b6.jpg
Gallup,Jon Clifton,CEO,https://media.licdn.com/dms/image/v2/D4E03AQGp2qftVfBNaw/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1720519288841?e=1776297600&v=beta&t=XrArdQa2Uc4IB809ZYqWPl6BXyyqC_nFvfQgFt3mSfk
GE Vernova,Scott Strazik,CEO,https://www.gevernova.com/sites/default/files/2024-03/01_strazik_scott.jpg
GIC,Eric Wilmes,"President, Americas",https://www.gic.com.sg/uploads/2024/05/Eric-Wilmes-e1716272059335.jpg
Goldman Sachs & Co.,John Waldron,President & COO,https://www.goldmansachs.com/images/migrated/about-us/people-and-leadership/leadership/executive-officers/images/john-waldron-1000x1000.png
